id,name,createdAt
42,Bracken Glen Holdings,2026-04-08T21:19:24.052Z
43,Peak Pastoral,2026-04-08T21:19:24.093Z
44,Pine West Run,2026-04-08T21:19:24.089Z
45,Holly Rock Ridge,2026-04-08T21:19:24.100Z
46,Gold Totara Park,2026-04-08T21:19:24.103Z
47,Maple Partnership,2026-04-08T21:19:24.107Z
48,Star Burn Crossing,2026-04-08T21:19:24.135Z
50,Beech View,2026-04-08T21:19:24.139Z
51,Tussock Upper Fields,2026-04-08T21:19:24.148Z
52,River Trust,2026-04-08T21:19:24.149Z
72,Bracken Mill Acres,2026-04-08T21:19:24.163Z
79,Rata Slate Station,2026-04-08T21:19:24.166Z
82,North Farming,2026-04-08T21:19:24.172Z
83,Glade Bank Trust,2026-04-08T21:19:24.175Z
84,Sage Quartz Creek,2026-04-08T21:19:24.181Z
85,Gorge Grove,2026-04-08T21:19:24.193Z
86,Maple Gate Pastures,2026-04-08T21:19:24.199Z
87,Basalt Bench Holdings,2026-04-08T21:19:24.200Z
88,Ford Park,2026-04-08T21:19:24.203Z
89,Gold Beech Agriculture,2026-04-08T21:19:24.218Z
90,Bench Ridge,2026-04-08T21:19:24.220Z
91,West Field Crossing,2026-04-08T21:19:24.228Z
92,Creek Knoll Trust,2026-04-08T21:19:24.231Z
93,Green Station,2026-04-08T21:19:24.232Z
94,Larch Wood Ltd,2026-04-08T21:19:24.233Z
95,Long High Haven,2026-04-08T21:19:24.235Z
96,Bluff Grange,2026-04-08T21:19:24.246Z
100,Bluff Hurst Station,2026-04-08T21:19:24.273Z
102,Dale Hazel View,2026-04-08T21:19:24.274Z
103,Matai View,2026-04-08T21:19:24.301Z
104,Larch Rock Grove,2026-04-08T21:19:24.302Z
105,Poplar View,2026-04-08T21:19:24.366Z
106,Miro Autumn Ltd,2026-04-08T21:19:24.378Z
107,Moss Trust,2026-04-08T21:19:24.381Z
115,Hawk Holly Hills,2026-04-08T21:19:24.388Z
116,Ash Hope Downs,2026-04-08T21:19:24.431Z
117,Moon Grange,2026-04-08T21:19:24.415Z
118,Spur West Flats,2026-04-08T21:19:24.441Z
119,Lower Pastures,2026-04-08T21:19:24.442Z
120,Maple Worth View,2026-04-08T21:19:24.460Z
121,Nikau Poplar Run,2026-04-08T21:19:24.472Z
122,Terrace Meadows,2026-04-08T21:19:24.498Z
123,Broad Kereru Fields,2026-04-08T21:19:25.626Z
124,Alder Side Station,2026-04-08T21:19:24.501Z
125,Briar Pine Springs,2026-04-08T21:19:24.507Z
126,Cove Lodge,2026-04-08T21:19:24.523Z
127,Weka Gate Ridge,2026-04-08T21:19:24.532Z
128,Kereru Estate,2026-04-08T21:19:24.559Z
129,Spur Bank Lodge,2026-04-08T21:19:24.582Z
130,Totara Nikau Ridge,2026-04-08T21:19:24.585Z
131,Ford Water Haven,2026-04-08T21:19:24.567Z
132,Kereru Brook Park,2026-04-08T21:19:24.572Z
133,Nikau Grove,2026-04-08T21:19:24.575Z
135,Nikau Burn Hills,2026-04-08T21:19:26.387Z
140,Bay Agriculture,2026-04-08T21:19:24.594Z
141,Quartz Water Pastures,2026-04-08T21:19:24.600Z
142,West Trust,2026-04-08T21:19:24.653Z
143,Totara Spur Farm,2026-04-08T21:19:24.638Z
144,Dale Basalt Pastoral,2026-04-08T21:19:24.682Z
145,North Rock Hills,2026-04-08T21:19:24.697Z
146,Nikau Moon Farming,2026-04-08T21:19:25.572Z
147,Ford Hollow Pastures,2026-04-08T21:19:24.726Z
148,Ridge Pastures,2026-04-08T21:19:24.742Z
150,Tui Burn Acres,2026-04-08T21:19:24.754Z
151,High Farming,2026-04-08T21:19:24.692Z
152,Granite Cedar View,2026-04-08T21:19:24.779Z
153,Peak Park,2026-04-08T21:19:24.804Z
154,Star Worth Holdings,2026-04-08T21:19:25.500Z
155,Saddle Mere Partnership,2026-04-08T21:19:24.809Z
156,Larch Ash Trust,2026-04-08T21:19:24.811Z
162,Glen Grove,2026-04-08T21:19:24.813Z
163,Bracken Burn Haven,2026-04-08T21:19:24.814Z
164,Totara Kauri Trust,2026-04-08T21:19:24.817Z
165,Hollow Run,2026-04-08T21:19:24.822Z
166,Matai Bank Pastoral,2026-04-08T21:19:24.823Z
167,North Cove Grange,2026-04-08T21:19:24.824Z
168,Long Hope Run,2026-04-08T21:19:24.681Z
169,Briar Lodge,2026-04-08T21:19:24.829Z
170,Star Wood Pastoral,2026-04-08T21:19:24.833Z
171,Upper Peak Creek,2026-04-08T21:19:24.840Z
172,Elm Flats,2026-04-08T21:19:24.845Z
173,Clover Bridge Run,2026-04-08T21:19:24.848Z
174,Weka Flax Creek,2026-04-08T21:19:24.849Z
175,Upper Hope Creek,2026-04-08T21:19:25.804Z
183,Ford Run,2026-04-08T21:19:24.887Z
184,Falcon Hurst Lodge,2026-04-08T21:19:24.890Z
193,Upper Spruce Run,2026-04-08T21:19:24.897Z
194,Spring Acres,2026-04-08T21:19:24.901Z
195,Moss Gate Lodge,2026-04-08T21:19:24.903Z
196,Spruce Hawk Partnership,2026-04-08T21:19:24.907Z
197,Thistle Run,2026-04-08T21:19:24.913Z
198,Ash Ley Acres,2026-04-08T21:19:24.915Z
199,Tui Kowhai Acres,2026-04-08T21:19:24.936Z
202,Matai Wood Station,2026-04-08T21:19:24.984Z
203,Terrace Valley Hills,2026-04-08T21:19:24.992Z
204,Weka Agriculture,2026-04-08T21:19:25.002Z
205,Broad Hurst Meadows,2026-04-08T21:19:25.048Z
206,Rowan Hill Partnership,2026-04-08T21:19:25.096Z
207,Knoll Dale Haven,2026-04-08T21:19:25.150Z
208,Ridge Pastoral,2026-04-08T21:19:26.331Z
209,River Farm,2026-04-08T21:19:25.147Z
210,Cedar Spruce Crossing,2026-04-08T21:19:25.173Z
211,Brook Haven,2026-04-08T21:19:25.182Z
212,Saddle Mill Grange,2026-04-08T21:19:25.199Z
214,Flax Pine Downs,2026-04-08T21:19:25.251Z
215,Weka Pastures,2026-04-08T21:19:25.350Z
218,Saddle Field Hills,2026-04-08T21:19:25.360Z
220,Spur Ridge,2026-04-08T21:19:25.488Z
221,Hawk Holdings,2026-04-08T21:19:25.537Z
222,Weka Ltd,2026-04-08T21:19:25.516Z
223,Kowhai Upper Farming,2026-04-08T21:19:25.363Z
224,Moss Copper Farm,2026-04-08T21:19:25.504Z
225,South Park Farming,2026-04-08T21:19:25.593Z
241,Larch Estate,2026-04-08T21:19:25.621Z
242,Moor Lodge,2026-04-08T21:19:25.599Z
243,Creek Dale Ridge,2026-04-08T21:19:25.522Z
244,South Downs,2026-04-08T21:19:25.559Z
245,Glen Ruru Trust,2026-04-08T21:19:25.526Z
246,Iron Rock Pastures,2026-04-08T21:19:25.528Z
247,Valley Estate,2026-04-08T21:19:25.580Z
248,Ash Farm,2026-04-08T21:19:25.528Z
249,Larch Weka Partnership,2026-04-08T21:19:25.532Z
250,Valley Bank Pastures,2026-04-08T21:19:25.541Z
251,Lower Ley Haven,2026-04-08T21:19:25.609Z
253,Valley Park Farming,2026-04-08T21:19:25.602Z
254,Saddle Gold Crossing,2026-04-08T21:19:25.598Z
255,Amber Ridge,2026-04-08T21:19:25.606Z
256,Elm Ford Acres,2026-04-08T21:19:25.548Z
257,Bracken Hope Agriculture,2026-04-08T21:19:25.561Z
259,Totara Holdings,2026-04-08T21:19:25.586Z
260,Stone Glen Ridge,2026-04-08T21:19:25.584Z
262,Range Oak Partnership,2026-04-08T21:19:25.605Z
263,Slate Glen Fields,2026-04-08T21:19:25.612Z
264,Clover Park Creek,2026-04-08T21:19:25.623Z
265,Tawa Springs,2026-04-08T21:19:25.628Z
266,Peak Mill Lodge,2026-04-08T21:19:25.632Z
267,Peak Alder Farm,2026-04-08T21:19:25.639Z
268,Spur Park Crossing,2026-04-08T21:19:25.651Z
269,Lake Partnership,2026-04-08T21:19:25.641Z
270,South Poplar Downs,2026-04-08T21:19:25.660Z
271,Cedar Ltd,2026-04-08T21:19:25.674Z
272,Bench Ley Station,2026-04-08T21:19:25.676Z
274,Gold Bracken Crossing,2026-04-08T21:19:25.693Z
276,Ash Meadows,2026-04-08T21:19:25.701Z
278,Fern Croft Agriculture,2026-04-08T21:19:25.709Z
279,Moss Totara Acres,2026-04-08T21:19:25.712Z
280,Stone Partnership,2026-04-08T21:19:25.719Z
281,Matai Stead Ltd,2026-04-08T21:19:25.725Z
282,Holly Thistle Trust,2026-04-08T21:19:25.732Z
283,Bench Grange,2026-04-08T21:19:25.736Z
284,Amber High Haven,2026-04-08T21:19:25.838Z
285,Tui Flats,2026-04-08T21:19:25.845Z
286,Rimu Worth Flats,2026-04-08T21:19:25.859Z
287,Tawa Ford Holdings,2026-04-08T21:19:25.865Z
288,Clover Run,2026-04-08T21:19:25.875Z
289,Creek Fen Flats,2026-04-08T21:19:25.877Z
290,Rimu Ash Lodge,2026-04-08T21:19:25.886Z
291,Green Star Grove,2026-04-08T21:19:25.944Z
292,Bench Run,2026-04-08T21:19:25.899Z
293,Moor Gate Trust,2026-04-08T21:19:25.919Z
294,Glade East Pastures,2026-04-08T21:19:25.926Z
295,North Ltd,2026-04-08T21:19:25.931Z
296,Thistle Hope Acres,2026-04-08T21:19:25.932Z
297,Knoll Ruru Farm,2026-04-08T21:19:25.936Z
298,Tui Pastoral,2026-04-08T21:19:25.938Z
299,Ridge Croft Flats,2026-04-08T21:19:25.943Z
300,Stone Tui Grange,2026-04-08T21:19:26.445Z
303,Tussock Meadows,2026-04-08T21:19:25.949Z
305,Iron Dale Run,2026-04-08T21:19:25.978Z
306,Holly Upper Agriculture,2026-04-08T21:19:25.984Z
307,Maple Farm,2026-04-08T21:19:25.989Z
308,Glen Gate Haven,2026-04-08T21:19:25.990Z
309,Poplar Basalt Trust,2026-04-08T21:19:25.993Z
311,Birch Flats,2026-04-08T21:19:26.001Z
313,Larch Acres,2026-04-08T21:19:26.017Z
314,Granite Kauri Park,2026-04-08T21:19:26.014Z
316,Spur Holly Pastures,2026-04-08T21:19:26.091Z
317,Moss Wood Flats,2026-04-08T21:19:26.050Z
318,Star Ash Partnership,2026-04-08T21:19:26.054Z
319,Ruru Flats,2026-04-08T21:19:26.055Z
323,Glen Worth Fields,2026-04-08T21:19:26.080Z
324,Lower Mount Pastures,2026-04-08T21:19:26.128Z
325,Gorge Bank Flats,2026-04-08T21:19:26.004Z
326,Silver Ruru Estate,2026-04-08T21:19:26.132Z
327,Moon Side Lodge,2026-04-08T21:19:26.333Z
328,Birch Acres,2026-04-08T21:19:26.119Z
331,Ford Stead Acres,2026-04-08T21:19:26.169Z
338,Spring Creek Agriculture,2026-04-08T21:19:26.201Z
339,North Bluff Pastoral,2026-04-08T21:19:26.186Z
340,Falcon Farming,2026-04-08T21:19:26.189Z
341,Larch Hurst Downs,2026-04-08T21:19:26.195Z
342,Moor Haven,2026-04-08T21:19:26.223Z
343,Dale Fen Creek,2026-04-08T21:19:26.225Z
344,Hill Moor Acres,2026-04-08T21:19:26.227Z
345,Star Springs,2026-04-08T21:19:26.246Z
346,Rata Run,2026-04-08T21:19:26.152Z
347,Briar Lea Meadows,2026-04-08T21:19:26.260Z
348,Star Gold Flats,2026-04-08T21:19:26.271Z
349,Kauri Side Haven,2026-04-08T21:19:26.421Z
350,Silver Estate,2026-04-08T21:19:26.416Z
351,Ruru Ford Downs,2026-04-08T21:19:26.348Z
352,Bluff Agriculture,2026-04-08T21:19:26.357Z
353,Rimu Hope Downs,2026-04-08T21:19:26.359Z
354,Tui Bay Flats,2026-04-08T21:19:26.375Z
356,Lower Partnership,2026-04-08T21:19:26.435Z
357,Ridge Willow Crossing,2026-04-08T21:19:26.422Z
358,Ruru Grange,2026-04-08T21:19:26.377Z
359,Gold Basalt View,2026-04-08T21:19:26.414Z
361,Dawn Mount Farming,2026-04-08T21:19:26.444Z
362,South Crossing,2026-04-08T21:19:26.448Z
363,Sage Lake Flats,2026-04-08T21:19:26.480Z
364,Slate Holdings,2026-04-08T21:19:26.507Z
365,Granite Glen Agriculture,2026-04-08T21:19:26.508Z
366,Gorge Glen View,2026-04-08T21:19:26.513Z
367,Quartz Station,2026-04-08T21:19:26.514Z
368,Larch Bridge Trust,2026-04-08T21:19:26.515Z
372,High Kea Ridge,2026-04-08T21:19:26.543Z
373,Valley Hawk Grange,2026-04-08T21:19:26.711Z
374,Tawa Haven,2026-04-08T21:19:26.567Z
376,Spur Park Acres,2026-04-08T21:19:26.580Z
378,Saddle Spur Ltd,2026-04-08T21:19:26.586Z
380,Slate Farm,2026-04-08T21:19:26.616Z
381,Spring Dale Meadows,2026-04-08T21:19:26.620Z
388,Terrace Rimu Crossing,2026-04-08T21:19:26.634Z
389,Kea Holdings,2026-04-08T21:19:26.636Z
390,Quartz Rock Crossing,2026-04-08T21:19:26.649Z
391,Knoll Rimu Ridge,2026-04-08T21:19:26.672Z
392,Spruce Creek,2026-04-08T21:19:26.689Z
393,Weka Hurst Downs,2026-04-08T21:19:26.706Z
394,Knoll Crossing,2026-04-08T21:19:26.722Z
395,Oak Mill Farming,2026-04-08T21:19:26.746Z
399,Long Park Flats,2026-04-08T21:19:26.789Z
400,Kauri Hill Park,2026-04-08T21:19:26.761Z
401,Granite Grove,2026-04-08T21:19:26.767Z
407,Birch Peak Ltd,2026-04-08T21:19:26.794Z
408,Peak Ridge,2026-04-08T21:19:26.804Z
409,Broad Water Crossing,2026-04-08T21:19:26.844Z
415,Clover Flax Pastoral,2026-04-08T21:19:26.846Z
417,Stone Stead Farming,2026-04-08T21:19:26.881Z
418,Hawk Flats,2026-04-08T21:19:26.869Z
419,Falcon Slate Hills,2026-04-08T21:19:26.907Z
423,Cove Creek,2026-04-08T21:19:26.917Z
424,Autumn Fen Estate,2026-04-08T21:19:26.931Z
426,Glade West Fields,2026-04-08T21:19:26.992Z
427,Bay Lea Fields,2026-04-08T21:19:27.157Z
428,Alder Lodge,2026-04-08T21:19:27.140Z
429,Ridge High Flats,2026-04-08T21:19:27.162Z
430,Oak Creek,2026-04-08T21:19:27.165Z
431,Moss Mill Grove,2026-04-08T21:19:27.181Z
432,Hawk Ridge Grange,2026-04-08T21:19:27.184Z
433,Rata Worth Run,2026-04-08T21:19:27.193Z
434,Alder East Ridge,2026-04-08T21:19:27.205Z
435,Star Partnership,2026-04-08T21:19:27.225Z
436,Clover Fen Farming,2026-04-08T21:19:27.226Z
437,Amber Kauri Hills,2026-04-08T21:19:27.229Z
438,Totara Hills,2026-04-08T21:19:27.254Z
439,Elm Meadows,2026-04-08T21:19:27.244Z
440,Thistle Glen View,2026-04-08T21:19:27.247Z
441,Knoll Tawa Pastures,2026-04-08T21:19:27.249Z
442,Oak Mere Station,2026-04-08T21:19:27.256Z
446,Autumn Moss Springs,2026-04-08T21:19:27.264Z
447,Autumn Meadows,2026-04-08T21:19:27.266Z
448,High Side Flats,2026-04-08T21:19:27.269Z
451,Rowan Eagle Park,2026-04-08T21:19:27.292Z
